"Region","Element","Item","Average"
"Africa_East","Fat supply quantity (g/capita/day)","Sugar",0.0178743602630262
"Africa_East","Fat supply quantity (g/capita/day)","Sunflower",1.88122674302956
"Africa_East","Fat supply quantity (g/capita/day)","Sweet potatoes",0.103946680569709
"Africa_East","Fat supply quantity (g/capita/day)","Sweeteners, other",0
"Africa_East","Fat supply quantity (g/capita/day)","Tea",0
"Africa_East","Fat supply quantity (g/capita/day)","Tomatoes",0.0427662388409707
"Africa_East","Fat supply quantity (g/capita/day)","Treenuts",0.272127411101379
"Africa_East","Fat supply quantity (g/capita/day)","Vegetables, other",0.12432772048234
"Africa_East","Fat supply quantity (g/capita/day)","Wheat",0.982627189126778
"Africa_East","Fat supply quantity (g/capita/day)","Yams",0
"Africa_East","Food supply (kcal/capita/day)","Apples",0.0012148038124768
"Africa_East","Food supply (kcal/capita/day)","Bananas & plantains",83.2042054617875
"Africa_East","Food supply (kcal/capita/day)","Barley",51.9843356918493
"Africa_East","Food supply (kcal/capita/day)","Beans",54.101249507484
"Africa_East","Food supply (kcal/capita/day)","Beverages, alcoholic",2.28973240821887
"Africa_East","Food supply (kcal/capita/day)","Beverages, fermented",27.3720240833697
"Africa_East","Food supply (kcal/capita/day)","Cassava",61.5958260814965
"Africa_East","Food supply (kcal/capita/day)","Cereals, other",97.2204371570623
"Africa_East","Food supply (kcal/capita/day)","Citrus, other",0.357487205260523
"Africa_East","Food supply (kcal/capita/day)","Cloves",0
"Africa_East","Food supply (kcal/capita/day)","Cocoa beans",0.168307840893867
"Africa_East","Food supply (kcal/capita/day)","Coconuts",1.46936806418782
"Africa_East","Food supply (kcal/capita/day)","Coffee",0.733019318918347
"Africa_East","Food supply (kcal/capita/day)","Cottonseed oil",2.21371325692025
"Africa_East","Food supply (kcal/capita/day)","Dates",7.88979016323195
"Africa_East","Food supply (kcal/capita/day)","Fruits, other",17.498274862317
"Africa_East","Food supply (kcal/capita/day)","Grapefruit",0.559150462463082
"Africa_East","Food supply (kcal/capita/day)","Grapes",0.00485921525355161
"Africa_East","Food supply (kcal/capita/day)","Groundnut",31.2121790991457
"Africa_East","Food supply (kcal/capita/day)","Lemons & limes",0.401949607221089
"Africa_East","Food supply (kcal/capita/day)","Maize",339.602294198837
"Africa_East","Food supply (kcal/capita/day)","Millets",51.5149423687476
"Africa_East","Food supply (kcal/capita/day)","Miscellaneous",1.39702778311412
"Africa_East","Food supply (kcal/capita/day)","Oats",1.75263624088781
"Africa_East","Food supply (kcal/capita/day)","Oilcrops, other",16.586716270181
"Africa_East","Food supply (kcal/capita/day)","Olives",0.00364441144107481
"Africa_East","Food supply (kcal/capita/day)","Onions",7.13771254846469
"Africa_East","Food supply (kcal/capita/day)","Oranges & mandarines",1.18021806273129
"Africa_East","Food supply (kcal/capita/day)","Palm oil",61.7009291753747
"Africa_East","Food supply (kcal/capita/day)","Peas",14.0703275783364
"Africa_East","Food supply (kcal/capita/day)","Pepper",0.0655450479460283
"Africa_East","Food supply (kcal/capita/day)","Pimento",3.79747332451304
"Africa_East","Food supply (kcal/capita/day)","Pineapples",1.49153253110244
"Africa_East","Food supply (kcal/capita/day)","Potatoes",37.4996308910597
"Africa_East","Food supply (kcal/capita/day)","Pulses, other",73.721633250864
"Africa_East","Food supply (kcal/capita/day)","Rape & mustard",1.14148557450037
"Africa_East","Food supply (kcal/capita/day)","Rice",42.1643717403103
"Africa_East","Food supply (kcal/capita/day)","Roots, other",79.264179800963
"Africa_East","Food supply (kcal/capita/day)","Rye",0
"Africa_East","Food supply (kcal/capita/day)","Sesame",22.7255465522323
"Africa_East","Food supply (kcal/capita/day)","Sorghum",224.154621275833
"Africa_East","Food supply (kcal/capita/day)","Soybean",8.73033879127773
"Africa_East","Food supply (kcal/capita/day)","Spices, other",1.73227772054044
"Africa_East","Food supply (kcal/capita/day)","Sugar",127.728900726207
"Africa_East","Food supply (kcal/capita/day)","Sunflower",17.8051339178239
"Africa_East","Food supply (kcal/capita/day)","Sweet potatoes",52.5485885143199
"Africa_East","Food supply (kcal/capita/day)","Sweeteners, other",1.63380192810235
"Africa_East","Food supply (kcal/capita/day)","Tea",0.449625439473142
"Africa_East","Food supply (kcal/capita/day)","Tomatoes",2.57896151984553
"Africa_East","Food supply (kcal/capita/day)","Treenuts",2.96726824472207
"Africa_East","Food supply (kcal/capita/day)","Vegetables, other",16.4199692804267
"Africa_East","Food supply (kcal/capita/day)","Wheat",243.727794144969
"Africa_East","Food supply (kcal/capita/day)","Yams",4.81175782520868
"Africa_East","Food supply quantity (g/capita/day)","Apples",0.122806813254164
"Africa_East","Food supply quantity (g/capita/day)","Bananas & plantains",103.572044473442
"Africa_East","Food supply quantity (g/capita/day)","Barley",28.7187493766468
"Africa_East","Food supply quantity (g/capita/day)","Beans",15.9966958111344
"Africa_East","Food supply quantity (g/capita/day)","Beverages, alcoholic",0.718514959377017
"Africa_East","Food supply quantity (g/capita/day)","Beverages, fermented",65.8561959564843
"Africa_East","Food supply quantity (g/capita/day)","Cassava",56.9793381437582
"Africa_East","Food supply quantity (g/capita/day)","Cereals, other",27.8774649778037
"Africa_East","Food supply quantity (g/capita/day)","Citrus, other",1.19162401759466
"Africa_East","Food supply quantity (g/capita/day)","Cloves",0
"Africa_East","Food supply quantity (g/capita/day)","Cocoa beans",0.0012148038124768
"Africa_East","Food supply quantity (g/capita/day)","Coconuts",0.607854728369047
"Africa_East","Food supply quantity (g/capita/day)","Coffee",1.59165556439743
"Africa_East","Food supply quantity (g/capita/day)","Cottonseed oil",0.165392408796232
"Africa_East","Food supply quantity (g/capita/day)","Dates",5.02058177511851
"Africa_East","Food supply quantity (g/capita/day)","Fruits, other",32.6223333644999
"Africa_East","Food supply quantity (g/capita/day)","Grapefruit",2.07575658292799
"Africa_East","Food supply quantity (g/capita/day)","Grapes",0.00485921525355161
"Africa_East","Food supply quantity (g/capita/day)","Groundnut",5.06026941142546
"Africa_East","Food supply quantity (g/capita/day)","Lemons & limes",2.81062116117766
"Africa_East","Food supply quantity (g/capita/day)","Maize",102.745300349748
"Africa_East","Food supply quantity (g/capita/day)","Millets",16.2001994734655
"Africa_East","Food supply quantity (g/capita/day)","Miscellaneous",0
"Africa_East","Food supply quantity (g/capita/day)","Oats",0.440076392317297
"Africa_East","Food supply quantity (g/capita/day)","Oilcrops, other",2.07136135186719
"Africa_East","Food supply quantity (g/capita/day)","Olives",0
"Africa_East","Food supply quantity (g/capita/day)","Onions",17.759526598591
