"Region","Region_crops","Average","Percentage","Element"
"Asia_Central","Asia_Central",20572057.33,0.756385623239686,"Area harvested"
"Asia_Central","America_Central_and_Mexico",3013066.17,0.110783277350407,"Area harvested"
"Asia_Central","Africa_Southern",2522371.43,0.0927415987384149,"Area harvested"
"Asia_Central","Africa_East",2474792.1,0.0909922199282123,"Area harvested"
"Asia_Central","America_South_tropical",2309249.33,0.0849056059716842,"Area harvested"
"Asia_Central","America_Caribbean",2301759,0.0846302043512027,"Area harvested"
"Asia_Central","Europe_Eastern_south",1245071.33,0.0457783117562367,"Area harvested"
"Asia_Central","Asia_East",1166442.13,0.0428873030694143,"Area harvested"
"Asia_Central","America_North",1093626.33,0.0402100392750743,"Area harvested"
"Asia_Central","Europe_Western_south",941859.67,0.0346299401206887,"Area harvested"
"Asia_Central","America_South_andean",727778.17,0.0267586724976178,"Area harvested"
"Asia_Central","Europe_Eastern_north",668698.88,0.0245864675075976,"Area harvested"
"Asia_Central","Europe_Western_north",668698.88,0.0245864675075976,"Area harvested"
"Asia_Central","Asia_South",410304,0.0150859022886913,"Area harvested"
"Asia_Central","Not_Specified",400570.67,0.014728030892547,"Area harvested"
"Asia_Central","Asia_Southeast",390159.33,0.0143452306811566,"Area harvested"
"Asia_Central","Africa_West",271505.77,0.00998262146368522,"Area harvested"
"Asia_Central","Africa_Central",207256.77,0.00762033853164915,"Area harvested"
"Asia_Central","Pacific_Region_tropical",28153,0.00103511885610066,"Area harvested"
"Asia_Central","America_South_temperate",2166.67,7.96633030919485e-05,"Area harvested"
"Asia_East","Asia_East",58661619.67,0.332231576914731,"Area harvested"
"Asia_East","America_Central_and_Mexico",45619417.67,0.258366733746816,"Area harvested"
"Asia_East","Asia_Southeast",43686792.33,0.247421260916274,"Area harvested"
"Asia_East","Asia_South",42056938.67,0.238190543205986,"Area harvested"
"Asia_East","Mediterranean_SouthandEast",40980189.33,0.23209234589772,"Area harvested"
"Asia_East","Asia_West",39118092,0.221546310247924,"Area harvested"
"Asia_East","Africa_West",35248848.33,0.199632750186287,"Area harvested"
"Asia_East","Asia_Central",34170249.33,0.193524077281507,"Area harvested"
"Asia_East","Africa_Central",33823469.67,0.191560081845788,"Area harvested"
"Asia_East","Europe_Eastern_south",19787535.33,0.11206721026327,"Area harvested"
"Asia_East","Europe_Western_south",16203762,0.0917704187421902,"Area harvested"
"Asia_East","America_South_tropical",15195201,0.0860584078340417,"Area harvested"
"Asia_East","Not_Specified",11679549,0.0661474232002377,"Area harvested"
"Asia_East","Africa_East",9789297,0.0554419328598918,"Area harvested"
"Asia_East","Africa_Southern",9201167.33,0.0521110454961669,"Area harvested"
"Asia_East","America_South_andean",8414986.67,0.047658491306886,"Area harvested"
"Asia_East","America_Caribbean",5768271.33,0.0326687515758791,"Area harvested"
"Asia_East","Europe_Eastern_north",4894656,0.0277210089063869,"Area harvested"
"Asia_East","Europe_Western_north",4894656,0.0277210089063869,"Area harvested"
"Asia_East","America_North",1961424,0.0111085747748567,"Area harvested"
"Asia_East","Pacific_Region_tropical",710049,0.00402138059405423,"Area harvested"
"Asia_East","America_South_temperate",13674.33,7.74449161940847e-05,"Area harvested"
